INFO 2026-01-01 14:20:48,063 autoreload Watching for file changes with StatReloader
DEBUG 2026-01-01 14:20:48,065 autoreload Waiting for apps ready_event.
DEBUG 2026-01-01 14:20:48,071 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-01-01 14:20:48,091 autoreload Watching dir /Users/LordCodex/Desktop/ACAD_AI/AcadAI_Project/locale with glob **/*.mo.
DEBUG 2026-01-01 14:20:48,091 autoreload Watching dir /Users/LordCodex/Desktop/ACAD_AI/AcadAI_Project/Acad_ai_app/locale with glob **/*.mo.
DEBUG 2026-01-01 14:20:48,215 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2026-01-01 14:20:48,222 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2026-01-01 14:20:48,248 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/queues.py first seen with mtime 1767168101.7865624
DEBUG 2026-01-01 14:20:48,248 autoreload File /Users/LordCodex/Desktop/ACAD_AI/AcadAI_Project/Acad_ai_app/views.py first seen with mtime 1767277218.8901129
DEBUG 2026-01-01 14:20:48,248 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/core/management/commands/makemigrations.py first seen with mtime 1767259365.1162367
DEBUG 2026-01-01 14:20:48,249 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/html/entities.py first seen with mtime 1767168102.7524002
DEBUG 2026-01-01 14:20:48,249 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/__init__.py first seen with mtime 1767259363.0041811
DEBUG 2026-01-01 14:20:48,249 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_compiler.py first seen with mtime 1767168103.4871392
DEBUG 2026-01-01 14:20:48,249 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/auth/apps.py first seen with mtime 1767259363.5761685
DEBUG 2026-01-01 14:20:48,250 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/core/management/base.py first seen with mtime 1767259365.1101344
DEBUG 2026-01-01 14:20:48,250 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/multiprocessing/reduction.py first seen with mtime 1767168103.3733234
DEBUG 2026-01-01 14:20:48,250 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/admin/models.py first seen with mtime 1767259363.01017
DEBUG 2026-01-01 14:20:48,251 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/admin/options.py first seen with mtime 1767259363.0109794
DEBUG 2026-01-01 14:20:48,251 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/core/exceptions.py first seen with mtime 1767259365.0801206
DEBUG 2026-01-01 14:20:48,251 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/db/models/fields/json.py first seen with mtime 1767259365.1741457
